dataid,last_season,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,dh,ph,pr
diazm004,2024,8,7,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0
diazy001,2025,3854,3382,478,973,185,8,103,430,0,21,30,421,13,580,11,8,87,0,40,228,45,3
diazy004,2025,1594,1511,178,418,77,4,59,216,0,17,9,57,3,284,3,1,48,0,26,104,34,0
diazy005,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diekj001,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dingd001,2025,592,549,59,140,28,4,15,70,0,1,10,31,2,150,0,0,7,1,4,4,9,0
dobbh001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dobnr001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doddd001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dollc001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domij003,2025,530,469,74,117,21,1,16,58,0,4,3,54,1,142,29,5,6,0,6,17,9,14
domis001,2025,3,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
donob001,2025,2016,1775,242,500,97,5,40,202,4,12,43,182,6,273,15,12,20,0,18,42,22,6
dovac001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doylb001,2025,1572,1443,187,339,63,11,48,177,9,15,7,98,1,442,70,12,36,0,16,7,9,2
dreyj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drisl001,2024,37,35,2,6,0,0,1,5,0,1,0,1,0,6,0,0,0,0,0,0,0,0
drurb001,2024,3196,2951,340,721,171,9,111,383,0,22,34,189,3,731,5,8,79,0,38,61,92,2
duard001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dubis001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dubom001,2025,2089,1949,251,503,99,4,39,202,10,19,9,101,2,298,22,12,47,1,25,1,61,26
duffm002,2024,2571,2342,276,650,102,9,31,231,7,12,34,176,1,440,41,14,78,0,29,10,100,4
